10001,NINETEEN EIGHTY FOUR,George Orwell,YES,5,Dystopian Fiction,4.61,74,src\ImagesOthers\bookpic1.jpg
10002,FALLEN TOO FAR,Abbi Glines,YES,16,Romance,4.06,39,src\ImagesOthers\bookpic1.jpg
10003,TWISTED PERFECTION,Abbi Glines,YES,27,Romance,2.88,75,src\ImagesOthers\bookpic1.jpg
10004,THE FRIEND ZONE,Abby Jimenez,YES,26,Romance,4.11,99,src\ImagesOthers\bookpic1.jpg
10005,CUT & RUN,Abigail Roux And Madeleine Urban,YES,28,Romance,2.34,25,src\ImagesOthers\bookpic1.jpg
10006,CUTTING FOR STONE,Abraham Verghese,YES,25,Non Fiction History Politics Islam,2.06,71,src\ImagesOthers\bookpic1.jpg
10007,LARGER THAN LIFE,Adele Parks,YES,4,Romance Chicklit,3.64,18,src\ImagesOthers\bookpic1.jpg
10008,DEATH ON THE POINT NOIR,Adrian Magson,YES,6,Mystery Crime Thriller,4.26,79,src\ImagesOthers\bookpic1.jpg
10009,ENCORE VALENTINE,Adriana Trigiani,YES,21,Chicklit Romance,3.91,31,src\ImagesOthers\bookpic1.jpg
10010,APPOINTMENT WITH DEATH,Agatha Christie,YES,23,Classic Mystery Crime,3.87,72,src\ImagesOthers\bookpic1.jpg
10011,DEATH ON THE NILE,Agatha Christie,YES,16,Thriller,4.72,11,src\ImagesOthers\bookpic1.jpg
10012,TEN LITTLE BIGGERS,Agatha Christie,YES,4,Thriller,1.4,80,src\ImagesOthers\bookpic1.jpg
10013,THE MIRROR CRACKED FROM SIDE TO SIDE,Agatha Christie,YES,23,Thriller,3.79,82,src\ImagesOthers\bookpic1.jpg
10014,THE MURDER AT THE VICARAGE,Agatha Christie,YES,16,Thriller,2.99,29,src\ImagesOthers\bookpic1.jpg
10015,THE MYSTERIOUS AFFAIR AT STYLES,Agatha Christie,YES,7,Mystery Detective,2.98,13,src\ImagesOthers\bookpic1.jpg
10016,MURDER ON THE ORIENT EXPRESS,Agatha Christie,YES,4,Mystery Detective,1.05,52,src\ImagesOthers\bookpic1.jpg
10017,DEATH ON THE NILE,Agatha Christie,YES,8,Mystery Detective,1.12,91,src\ImagesOthers\bookpic1.jpg
10018,AND THEN THERE WERE NONE,Agatha Christie,YES,13,Mystery Thriller,1.33,89,src\ImagesOthers\bookpic1.jpg
10019,THE MURDER OF ROGER ACKROYD,Agatha Christie,YES,7,Mystery Detective,1.77,20,src\ImagesOthers\bookpic1.jpg
10020,HERCULE POIROT'S CHRISTMAS,Agatha Christie,YES,30,Mystery Detective,4.36,99,src\ImagesOthers\bookpic1.jpg
10021,4.50 FROM PADDINGTON,Agatha Christie,YES,0,Mystery Detective,1.02,86,src\ImagesOthers\bookpic1.jpg
10022,A MURDER IS ANNOUNCED,Agatha Christie,YES,0,Mystery Detective,3.62,75,src\ImagesOthers\bookpic1.jpg
10023,THE BODY IN THE LIBRARY,Agatha Christie,YES,14,Mystery Detective,2.32,86,src\ImagesOthers\bookpic1.jpg
